"Timestamp","Brewery Name","Beer #1 (name, style, abv)","Beer #2 (name, style, abv)","Beer #3 (name, style, abv)","Beer #4 (name, style, abv)","Beer #5 (name, style, abv)","Beer #6 (name, style, abv)","How many people will be representing your brewery?","In order to keep the floor of the event as dry as possible, we are asking all kegs be placed in keg tubs. Are you able to provide your own keg tubs for the event? If you are not we will be able to provide you with keg tubs but would greatly appreciate anyone that is able to bring their own. ","Please dump any excess liquids in a designated dumping area or outdoors.","No flyers, stickers or anything that will create excess waste will be permitted at the event. ","Finally, please understand that this years Winter Warmer in using the space of another event (Lumaze) and we are asking everyone to please respect the property, instillations and work they have done to the site. "
"2019/11/19 11:09:54 AM EST","Hitchhiker Brewing Company","Beyond Lame, IPA, 6.5%","Subsurface - Smoothie Sour with Acai, Blueberry, and Pomegranate - 7.0","Oreo Speedwagon Oreo (collaboration with Mikerphone Brewing), Milkshake Stout, 10.5%","","","","4","Yes","Got it!","Got it!","Got it! Let's party."
"2019/11/19 12:09:06 PM EST","Butler Brew Works","Creekside, Kolsch, 5%","La Noche Triste, Stout, 5.5%","Bless The Rains, Double-NEIPA, 8%","","","","4","No","Got it!","Got it!","Got it! Let's party."
"2019/11/19 12:27:18 PM EST","Levity Brewing Company","Belgyinz, Belgian Tripel, 9.5%","Medulla Oblongata, IPA, 6.1%","Hoodlebug, Brown Ale, 6.7%","Tang Glider: Raspberry, Fruited Kettle Sour, 4.6%","Medulla Oblongata Randallized with jalapeño and mango, IPA with fruit, 6.1%","","3","Yes","Got it!","Got it!","Got it! Let's party."
"2019/11/19 6:37:57 PM EST","Pittsburgh Bottleshop and Brewhouse","Lucha Libre, Mexican Chocolate Stout, 7.2%","Waffle Blocker, Winter Warmer, 8%","","","","","4","Yes","Got it!","Got it!","Got it! Let's party."
"2019/11/20 7:31:30 AM EST","Helltown Brewing","Sanctuary, Russian Imperial Stout, 10.5%","Misfits and Misanthropes, Hazy IPA, 6.1%","","","","","4","Yes","Got it!","Got it!","Got it! Let's party."
"2019/11/20 7:44:14 AM EST","Mindful Brewing Company","Klark Bar, Milk Stout, 6.5%","ZEMU Blackberry Edition, Hard Seltzer, 5.0%","","","","","4","Yes","Got it!","Got it!","Got it! Let's party."
